index,pass_ID,scenario,time_crit,JRT,WT,commuter,age_50_65,age_65plus,Crowding_3_2,Crowding_4_3,Crowding_4_2,output_choice
0,1,1,1,20,10,0,0,1,1,0,0,0
0,1,2,1,20,5,0,0,1,1,0,0,1
0,1,3,1,20,10,0,0,1,0,1,0,0
0,1,4,1,20,5,0,0,1,0,1,0,1
0,1,5,1,20,10,0,0,1,0,0,1,0
0,1,6,1,20,5,0,0,1,0,0,1,1
1,2,1,1,15,10,1,0,0,1,0,0,0
1,2,2,1,15,5,1,0,0,1,0,0,0
1,2,3,1,15,10,1,0,0,0,1,0,0
1,2,4,1,15,5,1,0,0,0,1,0,0
1,2,5,1,15,10,1,0,0,0,0,1,0
1,2,6,1,15,5,1,0,0,0,0,1,0
2,3,1,1,15,10,1,0,0,1,0,0,0
2,3,2,1,15,5,1,0,0,1,0,0,0
2,3,3,1,15,10,1,0,0,0,1,0,0
2,3,4,1,15,5,1,0,0,0,1,0,1
2,3,5,1,15,10,1,0,0,0,0,1,0
2,3,6,1,15,5,1,0,0,0,0,1,1
3,4,1,1,30,10,1,0,0,1,0,0,0
3,4,2,1,30,5,1,0,0,1,0,0,0
3,4,3,1,30,10,1,0,0,0,1,0,0
3,4,4,1,30,5,1,0,0,0,1,0,1
3,4,5,1,30,10,1,0,0,0,0,1,0
3,4,6,1,30,5,1,0,0,0,0,1,1
4,5,1,0,20,10,1,0,0,1,0,0,1
4,5,2,0,20,5,1,0,0,1,0,0,1
4,5,3,0,20,10,1,0,0,0,1,0,1
4,5,4,0,20,5,1,0,0,0,1,0,1
4,5,5,0,20,10,1,0,0,0,0,1,1
4,5,6,0,20,5,1,0,0,0,0,1,1
5,6,1,1,25,10,1,0,0,1,0,0,0
5,6,2,1,25,5,1,0,0,1,0,0,0
5,6,3,1,25,10,1,0,0,0,1,0,1
5,6,4,1,25,5,1,0,0,0,1,0,1
5,6,5,1,25,10,1,0,0,0,0,1,1
5,6,6,1,25,5,1,0,0,0,0,1,1
6,7,1,0,10,10,1,0,0,1,0,0,1
6,7,2,0,10,5,1,0,0,1,0,0,1
6,7,3,0,10,10,1,0,0,0,1,0,1
6,7,4,0,10,5,1,0,0,0,1,0,1
6,7,5,0,10,10,1,0,0,0,0,1,1
6,7,6,0,10,5,1,0,0,0,0,1,1
7,8,1,1,15,10,1,0,0,1,0,0,0
7,8,2,1,15,5,1,0,0,1,0,0,0
7,8,3,1,15,10,1,0,0,0,1,0,0
7,8,4,1,15,5,1,0,0,0,1,0,1
7,8,5,1,15,10,1,0,0,0,0,1,0
7,8,6,1,15,5,1,0,0,0,0,1,1
8,9,1,1,30,10,1,0,0,1,0,0,0
8,9,2,1,30,5,1,0,0,1,0,0,0
8,9,3,1,30,10,1,0,0,0,1,0,1
8,9,4,1,30,5,1,0,0,0,1,0,1
8,9,5,1,30,10,1,0,0,0,0,1,1
8,9,6,1,30,5,1,0,0,0,0,1,1
9,10,1,0,25,10,1,0,1,1,0,0,0
9,10,2,0,25,5,1,0,1,1,0,0,1
9,10,3,0,25,10,1,0,1,0,1,0,1
9,10,4,0,25,5,1,0,1,0,1,0,1
9,10,5,0,25,10,1,0,1,0,0,1,1
9,10,6,0,25,5,1,0,1,0,0,1,1
10,11,1,0,17,10,1,0,0,1,0,0,0
10,11,2,0,17,5,1,0,0,1,0,0,0
10,11,3,0,17,10,1,0,0,0,1,0,0
10,11,4,0,17,5,1,0,0,0,1,0,1
10,11,5,0,17,10,1,0,0,0,0,1,0
10,11,6,0,17,5,1,0,0,0,0,1,1
11,12,1,0,5,10,1,0,0,1,0,0,0
11,12,2,0,5,5,1,0,0,1,0,0,0
11,12,3,0,5,10,1,0,0,0,1,0,1
11,12,4,0,5,5,1,0,0,0,1,0,1
11,12,5,0,5,10,1,0,0,0,0,1,1
11,12,6,0,5,5,1,0,0,0,0,1,1
12,13,1,0,45,10,1,0,0,1,0,0,0
12,13,2,0,45,5,1,0,0,1,0,0,0
12,13,3,0,45,10,1,0,0,0,1,0,0
12,13,4,0,45,5,1,0,0,0,1,0,1
12,13,5,0,45,10,1,0,0,0,0,1,0
12,13,6,0,45,5,1,0,0,0,0,1,1
13,14,1,1,20,10,1,0,0,1,0,0,0
13,14,2,1,20,5,1,0,0,1,0,0,0
13,14,3,1,20,10,1,0,0,0,1,0,0
13,14,4,1,20,5,1,0,0,0,1,0,0
13,14,5,1,20,10,1,0,0,0,0,1,0
13,14,6,1,20,5,1,0,0,0,0,1,0
14,15,1,1,15,10,1,0,0,1,0,0,0
14,15,2,1,15,5,1,0,0,1,0,0,1
14,15,3,1,15,10,1,0,0,0,1,0,1
14,15,4,1,15,5,1,0,0,0,1,0,1
14,15,5,1,15,10,1,0,0,0,0,1,1
14,15,6,1,15,5,1,0,0,0,0,1,1
15,16,1,0,15,10,1,0,0,1,0,0,0
15,16,2,0,15,5,1,0,0,1,0,0,1
15,16,3,0,15,10,1,0,0,0,1,0,0
15,16,4,0,15,5,1,0,0,0,1,0,1
15,16,5,0,15,10,1,0,0,0,0,1,0
15,16,6,0,15,5,1,0,0,0,0,1,1
16,17,1,0,25,10,1,0,0,1,0,0,0
16,17,2,0,25,5,1,0,0,1,0,0,0
16,17,3,0,25,10,1,0,0,0,1,0,0
16,17,4,0,25,5,1,0,0,0,1,0,0
16,17,5,0,25,10,1,0,0,0,0,1,0
16,17,6,0,25,5,1,0,0,0,0,1,0
17,18,1,1,15,10,1,0,0,1,0,0,0
17,18,2,1,15,5,1,0,0,1,0,0,0
17,18,3,1,15,10,1,0,0,0,1,0,1
17,18,4,1,15,5,1,0,0,0,1,0,1
17,18,5,1,15,10,1,0,0,0,0,1,1
17,18,6,1,15,5,1,0,0,0,0,1,1
18,19,1,0,17,10,1,0,0,1,0,0,0
18,19,2,0,17,5,1,0,0,1,0,0,0
18,19,3,0,17,10,1,0,0,0,1,0,0
18,19,4,0,17,5,1,0,0,0,1,0,1
18,19,5,0,17,10,1,0,0,0,0,1,0
18,19,6,0,17,5,1,0,0,0,0,1,1
19,20,1,1,20,10,1,0,0,1,0,0,0
